Turn,Speaker,Cue,Capsules,Capsules OIE
53,Caya,"I just learned something, I had never heard about mincke before!",,"[{'chat': 10, 'turn': 52, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about mincke before!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:09.224757', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 52, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about mincke before!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:09.224757', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 52, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about mincke before!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:09.224757', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 52, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about mincke before!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:09.224757', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
54,Leolani2,Who is Mincke?,,
55,Caya,you told me mincke is 24 years old,,"[{'chat': 10, 'turn': 54, 'author': 'Leolani', 'utterance': 'you told me mincke is 24 years old', 'utterance_type': 'STATEMENT', 'position': '0-34', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:22.197635', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 54, 'author': 'Leolani', 'utterance': 'you told me mincke is 24 years old', 'utterance_type': 'STATEMENT', 'position': '0-34', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:22.197635', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
56,Leolani2,Mincke is my friend,,"[{'chat': 10, 'turn': 55, 'author': 'Leolani', 'utterance': 'Mincke is my friend', 'utterance_type': 'STATEMENT', 'position': '0-19', 'subject': {'label': 'Mincke', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'my friend', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:28.600167', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
57,Caya,I would like to know. Has caya friend dislike by a agent?,,"[{'chat': 10, 'turn': 56, 'author': 'Leolani', 'utterance': 'I would like to know. Has caya friend dislike by a agent?', 'utterance_type': 'STATEMENT', 'position': '0-57', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:35.106646', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 56, 'author': 'Leolani', 'utterance': 'I would like to know. Has caya friend dislike by a agent?', 'utterance_type': 'STATEMENT', 'position': '0-57', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:35.106646', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
58,Leolani2,bye,,
59,Leolani2,"So let it be written, ... so let it be done",,"[{'chat': 10, 'turn': 58, 'author': 'Leolani', 'utterance': 'So let it be written, ... so let it be done', 'utterance_type': 'STATEMENT', 'position': '0-43', 'subject': {'label': 'it', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'written', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:47.991437', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 58, 'author': 'Leolani', 'utterance': 'So let it be written, ... so let it be done', 'utterance_type': 'STATEMENT', 'position': '0-43', 'subject': {'label': 'it', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'done', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:47.991437', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
60,,Hey! I would like to know your name! Mincke?,,"[{'chat': 10, 'turn': 59, 'author': 'Leolani', 'utterance': 'Hey! I would like to know your name! Mincke?', 'utterance_type': 'STATEMENT', 'position': '0-44', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:54.549848', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 59, 'author': 'Leolani', 'utterance': 'Hey! I would like to know your name! Mincke?', 'utterance_type': 'STATEMENT', 'position': '0-44', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:54.549848', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 59, 'author': 'Leolani', 'utterance': 'Hey! I would like to know your name! Mincke?', 'utterance_type': 'STATEMENT', 'position': '0-44', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'your name', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:15:54.549848', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
61,,Mincke,,
62,,So your name is Mincke?,,"[{'chat': 10, 'turn': 61, 'author': 'Leolani', 'utterance': 'So your name is Mincke?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:07.559477', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 61, 'author': 'Leolani', 'utterance': 'So your name is Mincke?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Mincke', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:07.559477', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
63,Leolani2,yes,,
64,Mincke,"Tell me anything, I love learning things",,"[{'chat': 10, 'turn': 63, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:20.457005', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 63, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'learning things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:20.457005', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
65,Leolani2,I do not like cats,,
66,Mincke,Let me ask you something. Has mincke like by agent?,,"[{'chat': 10, 'turn': 65, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has mincke like by agent?', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:33.386263', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 65, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has mincke like by agent?', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:33.386263', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
67,Leolani2,Yes,,
68,Mincke,I do frequently do not know things,,
69,Leolani2,Yesterday the weather was sunny,,"[{'chat': 10, 'turn': 68, 'author': 'Leolani', 'utterance': 'Yesterday the weather was sunny', 'utterance_type': 'STATEMENT', 'position': '0-31', 'subject': {'label': 'weather', 'type': []}, 'predicate': {'label': 'was sunny at_time', 'type': []}, 'object': {'label': 'Yesterday', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:52.654872', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
70,Mincke,"I just learned something, I had never heard about sunny before!",,"[{'chat': 10, 'turn': 69, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about sunny before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'sunny', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:59.102379', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 69, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about sunny before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'sunny', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:59.102379', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 69, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about sunny before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:59.102379', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 69, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about sunny before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:16:59.102379', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
71,Leolani2,sunny is a type of weather,,
72,Mincke,Interesting! I did not know anything that sunny be,,
73,Leolani2,Do you know Caya,,"[{'chat': 10, 'turn': 72, 'author': 'Leolani', 'utterance': 'Do you know Caya', 'utterance_type': 'STATEMENT', 'position': '0-16', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do know', 'type': []}, 'object': {'label': 'Caya', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:17:18.464015', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
74,Mincke,"I know agent usually do know person, but I do not know this case",,"[{'chat': 10, 'turn': 73, 'author': 'Leolani', 'utterance': 'I know agent usually do know person, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'person', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:17:24.932820', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 73, 'author': 'Leolani', 'utterance': 'I know agent usually do know person, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually know', 'type': []}, 'object': {'label': 'person', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:17:24.932820', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
75,Leolani2,Is Caya your friend? ,,"[{'chat': 10, 'turn': 74, 'author': 'Leolani', 'utterance': 'Is Caya your friend? ', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'Caya', 'type': []}, 'predicate': {'label': 'Is', 'type': []}, 'object': {'label': 'your friend', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:17:31.479013', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
76,Mincke,"I know agent usually is agent, but I do not know this case",,"[{'chat': 10, 'turn': 75, 'author': 'Leolani', 'utterance': 'I know agent usually is agent, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'agent', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:17:37.930335', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 75, 'author': 'Leolani', 'utterance': 'I know agent usually is agent, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'usually agent', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:17:37.930335', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
77,Leolani2,Where do I live,,
78,Mincke,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
79,Leolani2,I live in Utrecht,,"[{'chat': 10, 'turn': 78, 'author': 'Leolani', 'utterance': 'I live in Utrecht', 'utterance_type': 'STATEMENT', 'position': '0-17', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'live in', 'type': []}, 'object': {'label': 'Utrecht', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:17:57.483913', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
80,Mincke,I did not know that! I had never heard about utrecht before!,,"[{'chat': 10, 'turn': 79, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about utrecht before!', 'utterance_type': 'STATEMENT', 'position': '0-60', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'utrecht', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:03.980054', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 79, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about utrecht before!', 'utterance_type': 'STATEMENT', 'position': '0-60', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'utrecht', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:03.980054', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
81,Leolani2,Utrecht is a city in The Netherlands,,"[{'chat': 10, 'turn': 80, 'author': 'Leolani', 'utterance': 'Utrecht is a city in The Netherlands', 'utterance_type': 'STATEMENT', 'position': '0-36', 'subject': {'label': 'city', 'type': []}, 'predicate': {'label': 'is in', 'type': []}, 'object': {'label': 'Netherlands', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:10.516067', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 80, 'author': 'Leolani', 'utterance': 'Utrecht is a city in The Netherlands', 'utterance_type': 'STATEMENT', 'position': '0-36', 'subject': {'label': 'Utrecht', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'city', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:10.516067', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 80, 'author': 'Leolani', 'utterance': 'Utrecht is a city in The Netherlands', 'utterance_type': 'STATEMENT', 'position': '0-36', 'subject': {'label': 'Utrecht', 'type': []}, 'predicate': {'label': 'is city in', 'type': []}, 'object': {'label': 'Netherlands', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:10.516067', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
82,Mincke,Let me ask you something. What types of Instance like a city in tae netherlands do location orInstance usually be,,"[{'chat': 10, 'turn': 81, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types of Instance like a city in tae netherlands do location orInstance usually be', 'utterance_type': 'STATEMENT', 'position': '0-113', 'subject': {'label': 'city', 'type': []}, 'predicate': {'label': 'is in', 'type': []}, 'object': {'label': 'tae netherlands', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:17.018245', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 81, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types of Instance like a city in tae netherlands do location orInstance usually be', 'utterance_type': 'STATEMENT', 'position': '0-113', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:17.018245', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 81, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types of Instance like a city in tae netherlands do location orInstance usually be', 'utterance_type': 'STATEMENT', 'position': '0-113', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:17.018245', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
83,Leolani2,Utrecht is a city in Holland,,"[{'chat': 10, 'turn': 82, 'author': 'Leolani', 'utterance': 'Utrecht is a city in Holland', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'Utrecht', 'type': []}, 'predicate': {'label': 'is city in', 'type': []}, 'object': {'label': 'Holland', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:23.632029', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 82, 'author': 'Leolani', 'utterance': 'Utrecht is a city in Holland', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'Utrecht', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'city', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:23.632029', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 82, 'author': 'Leolani', 'utterance': 'Utrecht is a city in Holland', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'city', 'type': []}, 'predicate': {'label': 'is in', 'type': []}, 'object': {'label': 'Holland', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:18:23.632029', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
84,Mincke,Exciting news! I did not know anything that utrecht be,,
85,Leolani2,Do you know where I live? ,,
86,Mincke,I wouldn't know!,,
87,Leolani2,Do you know where Caya lives?,,
88,Mincke,I don't know,,
89,Leolani2,Caya lives in Amsterdam,,"[{'chat': 10, 'turn': 88, 'author': 'Leolani', 'utterance': 'Caya lives in Amsterdam', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'Caya', 'type': []}, 'predicate': {'label': 'lives in', 'type': []}, 'object': {'label': 'Amsterdam', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:19:02.637974', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
90,Mincke,Interesting! I had never heard about caya before!,,"[{'chat': 10, 'turn': 89, 'author': 'Leolani', 'utterance': 'Interesting! I had never heard about caya before!', 'utterance_type': 'STATEMENT', 'position': '0-49', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'caya', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:19:09.145664', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 89, 'author': 'Leolani', 'utterance': 'Interesting! I had never heard about caya before!', 'utterance_type': 'STATEMENT', 'position': '0-49', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'caya', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:19:09.145664', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
91,Leolani2,What does Ella like? ,,
92,Mincke,I don't know,,
93,Leolani2,What Ella like? ,,
94,Mincke,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
95,Leolani2,What like Ella?,,
96,Mincke,Caya told me ella like books,,"[{'chat': 10, 'turn': 95, 'author': 'Leolani', 'utterance': 'Caya told me ella like books', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'Caya', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'ella like books', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:19:48.094677', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 95, 'author': 'Leolani', 'utterance': 'Caya told me ella like books', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'Caya', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:19:48.094677', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 95, 'author': 'Leolani', 'utterance': 'Caya told me ella like books', 'utterance_type': 'STATEMENT', 'position': '0-28', 'subject': {'label': 'Caya', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:19:48.094677', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
97,Leolani2,What Caya own? ,,
98,Mincke,"Be that as it may, still may it be as it may be",,
99,Leolani2,What own Caya?,,
100,Mincke,Caya told me caya own no object and that caya own a laptop ,,"[{'chat': 10, 'turn': 99, 'author': 'Leolani', 'utterance': 'Caya told me caya own no object and that caya own a laptop ', 'utterance_type': 'STATEMENT', 'position': '0-59', 'subject': {'label': 'Caya', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:20:13.839783', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
101,Leolani2,A laptop is an object,,"[{'chat': 10, 'turn': 100, 'author': 'Leolani', 'utterance': 'A laptop is an object', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'laptop', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'object', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:20:20.441418', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
102,Mincke,"I just learned something, I did not know anybody who be an object",,
103,Leolani2,Do you have any gossip?,,"[{'chat': 10, 'turn': 102, 'author': 'Leolani', 'utterance': 'Do you have any gossip?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do have', 'type': []}, 'object': {'label': 'gossip', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:20:33.351644', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
104,Mincke,"I know agent usually do noun.communication, but I do not know this case",,"[{'chat': 10, 'turn': 103, 'author': 'Leolani', 'utterance': 'I know agent usually do noun.communication, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-71', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually do', 'type': []}, 'object': {'label': 'noun.communication', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:20:39.752675', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 103, 'author': 'Leolani', 'utterance': 'I know agent usually do noun.communication, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-71', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'do', 'type': []}, 'object': {'label': 'noun.communication', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:20:39.752675', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
105,Leolani2,Do lion roar? ,,
106,Mincke,"I know noun.animal usually do noun.event, but I do not know this case",,"[{'chat': 10, 'turn': 105, 'author': 'Leolani', 'utterance': 'I know noun.animal usually do noun.event, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-69', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'noun.animal', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:20:52.729583', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
107,Leolani2,Mincke likes skiing,,"[{'chat': 10, 'turn': 106, 'author': 'Leolani', 'utterance': 'Mincke likes skiing', 'utterance_type': 'STATEMENT', 'position': '0-19', 'subject': {'label': 'Mincke', 'type': []}, 'predicate': {'label': 'likes', 'type': []}, 'object': {'label': 'skiing', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:20:59.265523', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
108,Mincke,and then the wolves came,,
109,Leolani2,Mincke like ski,,
